inc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,8.85934796753384e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.859347958829691e-07
1,0.0002280354495209397,0.00022953073485709605,0.00022228239586160865,0.0002126179438676258,0.000202953491873643,0.0001944970963789076,0.00018483264438492471,0.0001763762488901897,0.00016671179689620644,0.00015825540140147157,0.00014979900590673628,0.00014013455391275362,0.00013167815841801835,0.00012322176292328248,0.00011476536742854891,0.00010630897193381312,9.664451993982942e-05,8.939618094434216e-05,7.973172895036028e-05,7.127533345562466e-05,6.281893796088944e-05,5.557059896540249e-05,4.590614697141859e-05,3.7449751476683615e-05,3.0201412481196834e-05,2.0536960487212884e-05,1.2080564992479098e-05,4.83222599699164e-06,1.7425546715578007e-07
2,0.0005046670634084093,0.0005194642946765857,0.00048684676919689306,0.00044818896122096087,0.0004131553227427732,0.0003889941927578154,0.0003696652887698491,0.00035275249778037916,0.00033342359379241336,0.0003165108028029429,0.0002995980118134731,0.00028147716432475425,0.00026335631683603475,0.0002464435258465669,0.00022832267835784753,0.00021140988736837764,0.00019449709637890713,0.00017758430538943797,0.00016067151439996903,0.0001437587234104967,0.00012563787592177834,0.00010993314143155561,9.181229394283784e-05,7.610755945261487e-05,5.919476846314587e-05,4.1073920974427476e-05,2.5369186484206658e-05,8.45639549473597e-06,3.1736095590774663e-07
3,0.0008977844430810355,0.0009422840694133415,0.0008963779224419213,0.000840807323476521,0.0007852367245111168,0.0007308741820449633,0.00067651163957881,0.0006221490971126556,0.0005689946111457486,0.0005158401251788414,0.00046268563921193697,0.00041557143574126896,0.00038174585376232783,0.0003563766672781232,0.0003322155372931644,0.0003068463508089597,0.00028147716432475387,0.0002573160343397979,0.00023194684785559432,0.00020778571787063505,0.00018362458788567763,0.00015946345790071817,0.0001340942714165169,0.00011114119793080563,8.577201144659776e-05,6.161088146164262e-05,3.744975147668149e-05,1.2080564992478534e-05,1.0337116746540335e-06
4,0.0012096386653960432,0.002035575201232667,0.001535439810544048,0.0011754389737681818,0.0011065797533110538,0.0010365124763546765,0.0009688613123967941,0.0009000020919396652,0.0008323509279817848,0.0007659078205231517,0.0006994647130645188,0.0006342296621051358,0.0005677865546465,0.0005037595601863634,0.0004385245092269768,0.00039020224925706234,0.0003575847237773699,0.0003273833112961769,0.0002959738423157309,0.0002657724298345288,0.00023436296085408567,0.0002041615483728919,0.0001727520793924428,0.00014375872341049648,0.0001123492544300551,8.09397854496071e-05,4.9530316469163316e-05,1.6912790989468328e-05,9.399292592154133e-07
5,0.001673626809625349,0.0038247068766187656,0.0031228260505557523,0.002261481766592019,0.0015728895620207301,0.0011899356517591551,0.0011126200358072948,0.0010437608153501612,0.0009761096513922843,0.0009072504309351546,0.0008408073234765209,0.0007743642160178839,0.0007091291650585077,0.0006426860575998667,0.0005786590631397276,0.0005134240121803462,0.00044818896122096494,0.0003986586447517984,0.0003636250062736066,0.0003310074807939173,0.00029597384231572844,0.00025731603433979934,0.00021865822636386043,0.00017758430538944133,0.00013892649741350168,9.906063293832566e-05,6.0402824962398655e-05,1.9328903987965337e-05,2.2292531032984758e-07
6,0.0017949471994175925,0.004875716030964416,0.004258399159848756,0.003221886683494082,0.002445106354477698,0.0018567828393439814,0.001379600522141069,0.0011633584087756999,0.0011053716968118118,0.0010473849848479054,0.0009918143858825086,0.0009338276739186082,0.0008794651314524522,0.0008251025889863006,0.0007695319900208952,0.0007163775040539899,0.0006535585660930992,0.0005738268371427436,0.00048443065619839293,0.00040469892724804424,0.00035033638478188515,0.00030322218131121525,0.00025731603433980205,0.00021140988736837685,0.00016429568389771104,0.00011718148042704139,7.006727695637283e-05,2.416112998496342e-05,1.1735314906487044e-06
7,0.0018008989446185797,0.005265918280221481,0.004890212708955392,0.004039740933484891,0.003243631700480536,0.002648059846351344,0.002222823958616092,0.001814500861870301,0.001415842217118508,0.0011996001037531383,0.001156110069780215,0.001118660318303537,0.0010800025103276008,0.0010425527588509168,0.0009990627248779886,0.0009289954479216126,0.000831142871482539,0.0007248338995487247,0.0006185249276149155,0.0005097998426826035,0.0004167794922405132,0.0003491283282826312,0.0002959738423157238,0.000242819356348828,0.00018845681388266093,0.00013409427141651328,8.21478419488565e-05,2.6577242983462242e-05,2.0568220862670442e-07
8,0.0017961081307471085,0.00536860308265755,0.005205515455259088,0.004577326075650192,0.0039974589560112074,0.0034671221528413923,0.003006852626627952,0.002675845145834037,0.002430609676486717,0.002201078941629631,0.0019860448847635,0.001783091392889867,0.0015922184660086827,0.0013868488611365598,0.0012104726122463682,0.0010969153013170685,0.000983357990387773,0.0008637603969622447,0.0007429547470374327,0.0006233571536119004,0.0005013434471878587,0.0004010747577502951,0.0003322155372931662,0.0002718127123307765,0.0002126179438676252,0.00015100706240598862,9.060423744360071e-05,3.0201412481205978e-05,6.791543545440949e-07
9,0.0017960573357367895,0.005595717704516152,0.0055606840660379605,0.005055716449352352,0.0046075274881313905,0.004211284956378089,0.003863364684594708,0.0035601425032834814,0.003296786186447453,0.0030720876775873394,0.0029017517111933977,0.002796650795758834,0.002721751292805452,0.002603361755879171,0.0021394680601679876,0.0014871175505741365,0.0011114119793080538,0.0009845660468870193,0.0008528878884689966,0.0007212097300509874,0.0005895315716329609,0.00045906146971419834,0.00036362500627360177,0.00029718189881498196,0.0002319468478555836,0.0001655037403969611,9.906063293832665e-05,3.3825581978930104e-05,6.070572301067428e-07
10,0.00179769626829161,0.0058518256823567,0.005904980168323608,0.005479744280588354,0.005117327330813993,0.004812897093003533,0.00456524551065772,0.004367124244781065,0.004220949408372068,0.004120680718934506,0.004068734289466843,0.004062694006970597,0.004094103475951043,0.003894774153575146,0.003169940254026419,0.0022373206366070554,0.0014689967030854102,0.0010896669623215744,0.0009519485214073265,0.0008093978544960793,0.0006668471875848254,0.000523088464174329,0.00040469892724804874,0.0003201349723006847,0.00024885963884506516,0.0001787923618886841,0.00010751702843306993,3.503363847819053e-05,1.0812901411919062e-06
11,0.0017999022821498071,0.006132094790182207,0.006266189061598719,0.0059158526768168405,0.005631959399493585,0.005412093116630476,0.005255045771728251,0.005158401251788412,0.005118535387313249,0.005137864291301215,0.005216387963752319,0.005352898348167323,0.005531690710056016,0.0052816230147117,0.0044009498267599985,0.003226718909491072,0.002091145800198072,0.001344566883662888,0.0010461769283486386,0.0008951698659426775,0.000742954747037465,0.0005895315716329411,0.00044698090472170736,0.00034308804578640117,0.0002669804863337795,0.00019087292688115676,0.0001147653674285592,3.865780797590651e-05,9.550754302509051e-07
12,0.0018011538024104313,0.006364041638037799,0.006586324033899405,0.00631692743456713,0.006121222281688974,0.005995584405767204,0.00593638963730405,0.005946054089298041,0.006022161648750651,0.006169544541658902,0.006384578598525006,0.006672096045346018,0.006889546215210621,0.0065307534349339745,0.005573972687529691,0.004306721419818664,0.0029802753836445056,0.0017782591668928642,0.0011355731092929978,0.0009785257643907808,0.000815438136992301,0.0006523505095938455,0.00048805482569615167,0.0003648330627728685,0.00028389327732324424,0.00020295349187363519,0.00012201370642404276,3.986586447516925e-05,1.1219333571138143e-06
13,0.00180234349122914,0.006595988485893388,0.0069064590062000945,0.006721626361815167,0.006615317389881349,0.00658269986440167,0.006626189898374581,0.0067433713788016296,0.006940284588179025,0.007214513413508298,0.007569682024287177,0.008013038759511143,0.008251025889862968,0.007776259685658571,0.006737331096305377,0.005439878416113175,0.00394792863954207,0.002520005857431036,0.0015197350760538266,0.001057049436841904,0.0008879215269471951,0.0007139613910554776,0.0005412093116630422,0.0003986586447517999,0.0002995980118134684,0.00021503405686612727,0.00012926204541951168,4.2281977473680526e-05,3.698185893495299e-07
14,0.00182337718096457,0.00686900925472341,0.007250755108485736,0.007128741402061698,0.007086459424588028,0.007126325289063214,0.007245922882488754,0.007450084430861638,0.007737601877682633,0.008113307448948713,0.008691966512088463,0.009677740615474715,0.010020828661261118,0.00907612847884928,0.007783508024654044,0.0064945117399565705,0.004986857228895234,0.0033704776329015734,0.0018942325908206687,0.0011307408832960044,0.0009555726909050513,0.0007731561595186483,0.0005895315716329691,0.00043006811373225476,0.0003153027463036761,0.0002246985088600991,0.0001365103844150128,4.469809047215414e-05,4.0587884257841344e-08
15,0.0018747226567426207,0.007216929526506796,0.007643373470741298,0.007545520894302216,0.00753344032930974,0.007607131775763858,0.00776659523366457,0.008015454872509646,0.008356126805297546,0.009065255970356042,0.010380829498036969,0.01169519496921868,0.01170727553421114,0.01060794411989558,0.008979483958909441,0.007470621391348861,0.005975047445279993,0.00423182191686529,0.002565912004402509,0.0014605403075906905,0.0010171835723667153,0.0008287267584840487,0.0006378538316028938,0.00045906146971418354,0.0003297994242946584,0.00023557101735333615,0.00014134261041199136,4.711420347067296e-05,5.776933041794456e-07
16,0.0019186620162027989,0.007517735594819519,0.007982837347029946,0.007909145900575829,0.00792485063506605,0.008031159606999863,0.008229280872876516,0.008519214432696003,0.009262169179733453,0.010576534650915114,0.012149424212935862,0.013249963683750695,0.013152111107311616,0.012116806687456173,0.010337339464064068,0.008499885528708038,0.006884713989213632,0.005134240121803495,0.0032907459039511777,0.0017710108278973888,0.0010751702843306288,0.0008818812444509867,0.0006813438655757926,0.000488054825696151,0.0003430880457863821,0.0002452354693473365,0.00014738289290824208,4.9530316469159724e-05,6.967349157224945e-07
17,0.0019639322920493108,0.007932098974061537,0.008253442002861475,0.00820270362989306,0.008248609776864485,0.008385120161279482,0.008664181212605752,0.009363645925670273,0.010545125181934692,0.01205157163649677,0.013777884373922014,0.014755202081813504,0.014600570849909842,0.013571306712550602,0.011881235670102849,0.009744183722933335,0.007758138838169862,0.006035450270242402,0.004022828142495392,0.0021467163991634843,0.0011947678777561568,0.0009338276739186017,0.000726041956047976,0.000517048181678114,0.0003600008367758022,0.00025610797784057034,0.00015342317540451846,5.0738372968415925e-05,4.3688600767807236e-08
18,0.00200172005436256,0.008299348149832892,0.008468476059727593,0.008444314929742633,0.008515590263198257,0.008755993506548584,0.009364853982169526,0.010374789215540749,0.011703651364713397,0.013390098237663434,0.015280706658986369,0.01617950069442676,0.015993459993542607,0.01496540391268267,0.013281373152731105,0.011133448697068392,0.008828476896503444,0.006832767559745963,0.0048213534884983126,0.0027797380047693385,0.0014569161380929006,0.0009809418773892966,0.0007683239335216332,0.0005508737636570224,0.00038053779726310576,0.0002645643733352585,0.00015946345790068703,5.315448596687754e-05,7.099001448270759e-07
19,0.0020286171323709596,0.008578409201159149,0.00864002008262079,0.008643644252118542,0.008840557461495938,0.00935398147367629,0.01018754045815732,0.011331569962945064,0.012824727796015414,0.014706879821843629,0.016733998627581542,0.017578430120555814,0.017380308854679165,0.01635708499981615,0.014656141448875174,0.012563787592177893,0.009976130570788928,0.007613172058260101,0.005617462721502635,0.0034091354408775044,0.0017178563419304725,0.0010280560808598983,0.0008093978544960728,0.0005846993456360039,0.0004010747577503275,0.0002730207688299849,0.00016550374039699727,5.436254246614195e-05,1.924756252726728e-08
