;y;rx
0;0;0
1;-0.001960688;0.035266088
2;-0.004038817;0.072012506
3;-0.007032466;0.120725415
4;-0.010840072;0.180585193
5;-0.016780645;0.265470784
6;-0.022184221;0.347624299
7;-0.026966995;0.425966569
8;-0.032210246;0.517928236
9;-0.038786754;0.641363414
10;-0.045856852;0.77914199
11;-0.053505965;0.932028945
12;-0.061103657;1.087005937
13;-0.068957463;1.249823987
14;-0.076740265;1.413598262
15;-0.085133865;1.592289671
16;-0.093573064;1.772838892
17;-0.102373585;1.964589623
18;-0.111073531;2.154550844
19;-0.119835928;2.34649282
20;-0.128875315;2.548393212
21;-0.137745306;2.74727466
22;-0.146652475;2.948314448
23;-0.155771002;3.154162689
24;-0.164719656;3.358002855
25;-0.173699439;3.565982115
26;-0.182694718;3.77486296
27;-0.191681013;3.983566221
28;-0.200692192;4.19369016
29;-0.209727004;4.405917798
30;-0.218783662;4.620016908
31;-0.227843493;4.834252621
32;-0.236902177;5.04904841
33;-0.245965034;5.265483445
34;-0.255051136;5.484896442
35;-0.264156163;5.704924156
36;-0.27306205;5.920198058
37;-0.282200664;6.140662904
38;-0.291394562;6.362807977
39;-0.300376832;6.580568068
40;-0.309600145;6.803942574
41;-0.318650395;7.024120552
42;-0.3277345;7.246689097
43;-0.33701247;7.473997792
44;-0.346114337;7.697249355
45;-0.355235636;7.922631938
46;-0.364349127;8.147809614
47;-0.373579741;8.37476314
48;-0.382843316;8.602358703
49;-0.392111331;8.830186493
50;-0.401401162;9.058369453
51;-0.410761386;9.287932111
52;-0.419949412;9.51427092
53;-0.429361731;9.748737654
54;-0.438789934;9.98366884
55;-0.448043704;10.21452923
56;-0.457347393;10.44608631
57;-0.466891736;10.68342172
58;-0.476234406;10.91589404
59;-0.485608816;11.14939089
60;-0.49496755;11.38253256
