,y
0,-0.0
1,0.002442962024360895
2,0.0050780582241714
3,0.008771729655563831
4,0.013705676421523094
5,0.020785585045814514
6,0.027199752628803253
7,0.03311251103878021
8,0.040245357900857925
9,0.048846375197172165
10,0.05804043635725975
11,0.06773200631141663
12,0.07735078036785126
13,0.0873335599899292
14,0.09744051843881607
15,0.10827299952507019
16,0.1190495416522026
17,0.130237877368927
18,0.14135949313640594
19,0.15252238512039185
20,0.16400739550590515
21,0.17530879378318787
22,0.18664517998695374
23,0.19830666482448578
24,0.20972147583961487
25,0.22113023698329926
26,0.23263147473335266
27,0.24413901567459106
28,0.255668967962265
29,0.26720160245895386
30,0.27878278493881226
31,0.29038795828819275
32,0.3020011782646179
33,0.3136211037635803
34,0.3252427279949188
35,0.336893230676651
36,0.3483349084854126
37,0.36009663343429565
38,0.3719014823436737
39,0.3834379017353058
40,0.3952816426753998
41,0.40689095854759216
42,0.41854047775268555
43,0.4304274916648865
44,0.44210338592529297
45,0.4538264572620392
46,0.4656006097793579
47,0.4774736166000366
48,0.48935019969940186
49,0.5012408494949341
50,0.5131868720054626
51,0.5252178907394409
52,0.5370097756385803
53,0.5490697622299194
54,0.561143159866333
55,0.5730310082435608
56,0.5849609375
57,0.5971741080284119
58,0.6091489195823669
59,0.6211684346199036
60,0.6331650614738464
